Station Name,State,District,Month,Year,Temperature (in °C)
DHUBRI,Assam,DHUBRI,Jun,2010,24.83
BADARWAH,Jammu and Kashmir,DODA,Jun,2010,13.40
JALORE,Rajasthan,JALORE,Jun,2010,30.25
BHUJ / RUDRAMATA(A),Gujarat,KUTCH,Jun,2010,27.80
OKHA,Gujarat,JAMNAGAR,Jun,2010,28.63
GAZIPUR,Uttar Pradesh,GAZIPUR,Jun,2010,29.15
HARDOI,Uttar Pradesh,HARDOI,Jun,2010,28.11
CHITTORGARH,Rajasthan,CHITTORGARH,Jun,2010,28.16
AGUMBE EMO,Karnataka,SHIMOGA,Jun,2010,18.14
SOLAPUR,Maharashtra,SOLAPUR,Jun,2010,24.22
,,,,,
"Copyright © 2025, NITI Aayog",,,,,
https://iced.niti.gov.in,,,,,
"The information on this platform is mainly taken from official sources. However, in some cases, a few assumptions have been made and some data derived or assumed and is given in the detailed. While we believe that the data is reliable and adequately comprehensive, NITI Aayog ICED does not take guarantee that such information is in all respects accurate. NITI Aayog ICED does not accept any liability for any consequences resulting from the use of this data.sss",,,,,
